id	institution sameAs	institution	TM collection	THOT collection	idno	online	idno type=TopBib	alias	type	povenance id	provenance	note type=def	Wikidata	note type=Mariette
CoEg_obj_imn												Objet à identifier		
CoEg_obj_00000001	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	A 26	https://collections.louvre.fr/ark:/53355/cl010007879			statue			Sphinx (Basse-Époque, XXIXe dynastie)		
CoEg_obj_00000002	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 391	N 391 A : https://collections.louvre.fr/ark:/53355/cl010008101 ; N 391 B : https://collections.louvre.fr/ark:/53355/cl010009177 ; N 391 C : https://collections.louvre.fr/ark:/53355/cl010009176 ; N 391 D : https://collections.louvre.fr/ark:/53355/cl010009175 ; N 391 E : https://collections.louvre.fr/ark:/53355/cl010009541 ; N 391 F : https://collections.louvre.fr/ark:/53355/cl010009540			statue	CoEg_place_00000004	Sérapéum	Six sphinx (époque ptolémaïque ; fouilles du Sérapéum)		
CoEg_obj_00000003	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	C 318	https://collections.louvre.fr/ark:/53355/cl010027816			stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) originellement encastrée dans le socle du lion N 432 A		
CoEg_obj_00000004	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 432 A	https://collections.louvre.fr/ark:/53355/cl010010168			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) ; son socle abritait la stèle C 318		
CoEg_obj_00000005	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 432 B	https://collections.louvre.fr/ark:/53355/cl010010169			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000006	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 432 C	https://collections.louvre.fr/ark:/53355/cl010010170			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000007	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 390	https://collections.louvre.fr/ark:/53355/cl010007389			statue	CoEg_place_00000004	Sérapéum	Statue d'Apis (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000008	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	E 3023	https://collections.louvre.fr/ark:/53355/cl010006582			statue	CoEg_place_00000004	Sérapéum	Le « Scribe accroupi » ([Ancien Empire, Ive-Ve dynastie ?] ; fouilles du Sérapéum)		
CoEg_obj_00000009	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 405	https://collections.louvre.fr/ark:/53355/cl010010051			stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque ; XXVIe dynastie ; fouilles du Sérapéum)		Reproduite dans Mariette, Auguste, Choix de monuments et de dessins découverts ou exécutés pendant le déblaiement du Sérapéum de Memphis, Paris, Gide et J. Baudry, 1856, pl. 7 (https://gallica.bnf.fr/ark:/12148/bpt6k3041140v/f31.image)
