letter_id	letter_title	authority	ms_id	id repository	repository	settlement	idno	locus	creation	date	author_id	author	author_VIAF_URL	author_certainty	place_id	lat	lon	place	place_GeoName_URL	place_certainty	recipient_id	recipient	recipient_BNF_URL	recipient_certainty
CoEg_Mariette_1846-04-13	Le 13 avril 1846, de Boulogne-sur-Mer, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-04-13	13 April 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000090	Salvandy (de), Narcisse-Achille	https://catalogue.bnf.fr/ark:/12148/cb130079493	certain
CoEg_Mariette_1846-05-24	Le 24 mai 1846, de Boulogne-sur-Mer, à Camaret, recteur de l’académie de Douai	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-05-24	24 May 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000093	Camaret, Louis	https://catalogue.bnf.fr/ark:/12148/cb102117199	certain
CoEg_Mariette_1846-05-25	Le 25 mai 1846, de Boulogne-sur-Mer, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-05-25	25 May 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000090	Salvandy (de), Narcisse-Achille	https://catalogue.bnf.fr/ark:/12148/cb130079493	certain
CoEg_Mariette_1846-09-29	Le 29 septembre 1846, de Boulogne-sur-Mer, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-09-29	29 September 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000090	Salvandy (de), Narcisse-Achille	https://catalogue.bnf.fr/ark:/12148/cb130079493	certain
CoEg_Mariette_1848-12-27	Le 27 décembre 1848, de Boulogne-sur-Mer, à Leleux	Thomas Lebée	CoEg_Mariette_ms_018	CoEg_org_00000074	Institut national d'histoire de l'art	Paris	BCMN ms. 530	fos 1-2	1848-12-27	1848-12-27	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000414	Leleux		certain
CoEg_Mariette_1849-09-12	Le 12 septembre 1849, de Paris, à Falloux, ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_015	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/21251	n. p.	1849-09-12	12 September 1849	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000413	Falloux (de), Alfred	https://catalogue.bnf.fr/ark:/12148/cb12516645k	certain
CoEg_Mariette_1849-10-20	Le 20 octobre 1849, de Paris, à Longpérier	Thomas Lebée	CoEg_Mariette_ms_001	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	20150497/118, dossier 145 « Mariette, Auguste »	n. p.	1849-10-20	20 October 1849	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000033	Longpérier (de), Adrien	https://catalogue.bnf.fr/ark:/12148/cb12568704s	conjecture
CoEg_Mariette_1849-11-08	Le 8 novembre 1849, de Paris, à Maury	Thomas Lebée	CoEg_Mariette_ms_005	CoEg_org_00000004	Institut de France	Paris	ms. 2656	dossier XVI, document 30	1849-11-08	8 November 1849	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000243	Maury, Alfred	https://catalogue.bnf.fr/ark:/12148/cb119152793	conjecture
CoEg_Mariette_1850-05-20a	Le 20 mai 1850, de Paris, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1850-05-20	20 May 1850	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000003	Esquirou de Parieu, Félix	https://catalogue.bnf.fr/ark:/12148/cb13475874p	certain
CoEg_Mariette_1850-05-20b	Le 20 mai 1850, de Paris, à Jourdain	Thomas Lebée	CoEg_Mariette_ms_016	CoEg_org_00000074	Institut national d'histoire de l'art	Paris	Autographe 97 bis, 43	document 1	1850-05-20	20 May 1850	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000303	Jourdain, Charles	https://catalogue.bnf.fr/fr/12123005/charles_jourdain/	certain
